period_date
2023-09-02
2023-10-03
2023-11-08
2023-12-14
2024-01-14
2024-02-20
2024-04-05
2024-05-06
2024-06-13
2024-07-15
2024-08-17
2024-09-18
2024-10-16
2024-11-14
2024-12-18
2025-01-21
2025-02-24
2025-03-29
2025-05-11
2025-06-14
2025-07-15
